word,definition,example
conjunction,The temporal property of two things happening at the same time.,the interval determining the coincidence gate is adjustable
connect,"Connect, fasten, or put together two or more pieces.",Can you connect the two loudspeakers?
connection/connexion,A relation between things or events (as in the case of one causing the other or sharing features with it).,there was a connection between eating that pickle and having that nightmare
conquer,To put down by force or authority.,suppress a nascent uprising
conquest,The act of conquering.,
conscience,Motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions.,Your conscience is your highest authority.
conscious,Intentionally conceived.,a conscious effort to speak more slowly
consciousness,An alert cognitive state in which you are aware of yourself and your situation.,he lost consciousness
consensus,Agreement in the judgment or opinion reached by a group as a whole.,the lack of consensus reflected differences in theoretical positions
consent,Permission to do something.,he indicated his consent
consequence,A phenomenon that follows and is caused by some previous phenomenon.,the magnetic effect was greater when the rod was lengthwise
consequently,(sentence connectors) because of the reason given.,"consequently, he didn't do it"
conservation,An occurrence of improvement by virtue of preventing loss or injury or other change.,
conservative,A person who is reluctant to accept changes and new ideas.,The curriculum committee at this university is extremely conservative.
consider,Deem to be.,She views this quite differently from me
considerable,Large or relatively large in number or amount or extent or degree.,a considerable quantity
considerably,To a great extent or degree.,I'm afraid the film was well over budget
consideration,The process of giving careful thought to something.,"After much consideration, I have decided to stay."
considering,Deem to be.,She views this quite differently from me
consist,Originate (in).,The problems dwell in the social injustices in this country
consistent,(sometimes followed by `with') in agreement or consistent or reliable; ; - fdr.,testimony consistent with the known facts
consolation,The comfort you feel when consoled in times of disappointment.,second place was no consolation to him
console,A small table fixed to a wall or designed to stand against a wall.,
consonant,A speech sound that is not a vowel.,"The 19 unquestionable consonants in the English alphabet are B, C, D, F, G, H, J, K, L, M, N, P, Q, R, S, T, V, X, Z."
constant,A quantity that does not vary.,constant time   constant space
constantly,"Without variation or change, in every case.",constantly kind and gracious
constitute,Form or compose.,This money is my only income
constitution,Law determining the fundamental political principles of a government.,"He has a strong constitution, so he should make a quick recovery from the illness."
construct,An abstract or general idea inferred or derived from specific instances.,Loops and conditional statements are constructs in computer programming.
construction,The act of constructing something.,during the construction we had to take a detour
